cleaning,scores,compound,sentiment
Keputusan pemerintah melarang penjualan eceran gas LPG 3 kg pada 1 Februari lalu berujung menyusahkan konsumen . Masyarakat mengeluhkan antrean yang lama jarak agen gas yang jauh hingga jumlah LPG yang langka. Pemerintah akhirnya membatalkan kebijakan itu pada 4 Februari. ,"{'neg': 0.055, 'neu': 0.918, 'pos': 0.027, 'compound': -0.34}",-0.34,Negative
BRA (Badan Reintegrasi Aceh) adalah lembaga yang dibentuk setelah penandatanganan Perjanjian Helsinki pada tahun 2005 yang mengakhiri konflik bersenjata antara Gerakan Aceh Merdeka (GAM) dan pemerintah Indonesia. Tujuan utama pembentukan BRA adalah: 1. Reintegrasi Mantan ,"{'neg': 0.046, 'neu': 0.823, 'pos': 0.131, 'compound': 0.6369}",0.6369,Positive
Yang melanggar peraturan: Pemerintah Yang kena hukuman: ribuan dosen ASN jelata di seluruh Indonesia raya. ,"{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.5267}",-0.5267,Negative
Pemerintah berdalih karena perubahan nomenklatur tapi kementerian lain juga mengalami perubahan dan tetap bisa membayar Tukin tuh... Hmmmm.... ,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.3291}",-0.3291,Negative
 Pemerintah Indonesia tuh bisanya maksa perubahan dilakukan brutal tiba-tiba dan hasilnya gak efektif. Fomoan heboh digitalisasi maksa digitalisasi tanpa survei lapangan. Nengoknya ke negara maju terus padahal di sini ya masih berkembang ckckc,"{'neg': 0.199, 'neu': 0.801, 'pos': 0.0, 'compound': -0.8267}",-0.8267,Negative
Rekam Sejarah Buruk orang² China di Indonesia... dan inilah fakta pengkhianatan etnis China yg meninggalkan luka sejarah thdp bangsa pribumi di Medan yg akhirnya Pemerintah Republik pada waktu itu membubarkan laskar penghianat Pao An Tui. ,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.8074}",-0.8074,Negative
 DKV -plus: gambar-gambar doang -minus: Hidup di indonesia yang kebanyakan pemerintahnya menggunakan ai generate image Bikin studio animasi/komik susah buat di biayain pemerintah. Jurusan DKV? Apa itu? Kok gak kedokteran aja? .,"{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.466}",-0.466,Negative
 karna fakta beginian selalu ditutup2i pemerintah kita.... Indonesia saat ini bunga obligasinya sekitar 6 7%... jepang masih di 0 komaan ya? maka efek beban ke APBN nya pun pasti sangat2 jauh berbeda... Indonesia terbebani secara dahsyat sedangkan jepang selow2 aja ,"{'neg': 0.118, 'neu': 0.825, 'pos': 0.057, 'compound': -0.4404}",-0.4404,Negative
Kita semua tahu bahwa Indonesia merupakan penghasil tembakau terbaik makanya ada jutaan petani dan pekerja di sektor industri tembakau..masa iya pemerintah mau membuat regulasi yg mematikan begitu banyak pendapatan masyarakat.. MakeTobaccoGreatAgain MTGA ,"{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.7845}",0.7845,Positive
Presiden Prabowo Perlu Tiru Cara Gus Dur Lindungi Pekerja Migran Indonesia Kita ingin agar pemerintah melakukan high diplomacy seperti dulu yang dilakukan Presiden Gus Dur. Gus Dur pernah menggagalkan dan menunda eksekusi mati kepada salah satu pekerja migran di Arab Saudi | ,"{'neg': 0.061, 'neu': 0.859, 'pos': 0.08, 'compound': 0.2263}",0.2263,Positive
 Ini merupakan fake heroism . Masalah dibuat pemerintah sendiri tiba-tiba PS muncul sebagai pahlawan Sudah berulang kali trik-trik dangkal ini dilakukan mulai dari PPN 12% sampai LPG 3 kg.,"{'neg': 0.179, 'neu': 0.639, 'pos': 0.182, 'compound': 0.2732}",0.2732,Positive
Rumus kebijakan pemerintah indonesia 5 tahun kedepan sudah keluar gaes ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
 faktanya klo negara kita mengakui update standarnya world bank ini maka Indonesia memang miris kan? pemerintah kita aja yang denial sehingga hanya mengakui orang miskin menurut klaim mereka 8 5% doang.. sungguh miris melihat 52% rakyat kehilangan hak perlinsosnya karna denial ini ,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.9116}",-0.9116,Negative
Lu pernah nggak sih punya pemerintah yang udah dikasih tahu satu negara tapi tambeng terus ternyata kejadian dan jadi ngerugiin satu negara? Pernah? Oh orang Indonesia ya?,"{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.466}",-0.466,Negative
Pemerintah terus berupaya mensejahterakan masyarakat Indonesia. Dalam konteks Gas LPG 3kg begini penjelasannya. prabowo gibran pemerintah indonesia gaslpg lpg3kg bahlil esdm bahlillahadalia indonesiamaju menujuindonesiamaju dekade08 ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Kalau gak bikin susah hidup Rakyat bukan pejabat di Indonesia namanya. Pada gak mikir dikira pangkalan resmi sudah menjangkau pelosok negeri dng merata? Makanya otak jangan ngukur Jakarta aja. Pemerintah Bakal Evaluasi Larangan Pengecer Jual LPG 3 Kg ,"{'neg': 0.067, 'neu': 0.869, 'pos': 0.065, 'compound': -0.2709}",-0.2709,Negative
 Selain itu ini bukan praktik unik di Indonesia saja. Di seluruh dunia juga begitu. Pergi ke kantor pemerintah di Jerman di Perancis di Jepang. Setiap mengurus administrasi yang memerlukan dokumen resmi pasti akan diminta terjemahan resmi/tersumpah dalam bahasa sana. ,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.7096}",0.7096,Positive
06/02/25 Gelombang Tinggi di Pesisir Kibuyut Desa Eretan Kulon Kec. Kandanghaur Kab. Indramayu Jabar Sejak 28/01/2025 sampai sekarang masih terendam ROB Semoga Pemerintah memperhatikan hal ini. Indonesia Darurat .A.B.R.A.S.I. Pantura Jawa butuh Giant Seawall .A.S.A.P. ,"{'neg': 0.127, 'neu': 0.818, 'pos': 0.055, 'compound': -0.5423}",-0.5423,Negative
Menteri HAM Natalius Pigai: Pemerintah Tak Maksimal Melindungi Pekerja Migran Indonesia di Malaysia ,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.2411}",-0.2411,Negative
ini lagi2 salah dri pemerintah populasi kucing disini banyak bgtt tp ga keurus beda sma di turki banyak kucing keurus gendut2 lucu lg trus ga bandel ya mau berharap apa ke pemerintah indonesia GAS aja skrg jd langka smpe ada korban jiwa semua dipersulit sma pemerintah ,"{'neg': 0.139, 'neu': 0.731, 'pos': 0.13, 'compound': -0.1523}",-0.1523,Negative
Pemerintah yang sukanya memerintah selalu merasa di atas. Tak pernah memedulikan keadaan orang-orang yang dibawah . Dan tak menganggap suara mereka sesuatu yang pantas untuk diperhitungkan. PeringatanDarurat IndonesiaGelap ,"{'neg': 0.055, 'neu': 0.752, 'pos': 0.193, 'compound': 0.7067}",0.7067,Positive
Preservasi rutin jalan &amp; jembatan 0 km. Sudah sepede itukah pemerintah dengan kualitas jalanan utama di Indonesia? Apa nunggu jalanannya makin ancur? faridqhiaqhisya tioanakdamri_ kota_ketapang ,"{'neg': 0.108, 'neu': 0.892, 'pos': 0.0, 'compound': -0.594}",-0.594,Negative
Selamat Ulang Tahun! Presiden memberikan kado untuk seluruh masyarakat Indonesia yang berulang tahun berupa Cek Kesehatan Gratis.Salah satu Program Hasil Terbaik Cepat atau PHTC ini merupakan upaya preventif pemerintah dalam menjaga &amp; meningkatkan kesehatan masyarakat. ,"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.9359}",0.9359,Positive
Ada 6 juta rakyat yg sumber ekonominya dari tembakau. Mereka ini harus di lindungi oleh pemerintah Indonesia Jgn diam saja ketika komoditas dan petani kita ditindas regulasi yang berbau asing Keluar dari WHO ikuti jejak AS. MakeTobaccoGreatAgain MTGA ,"{'neg': 0.062, 'neu': 0.88, 'pos': 0.058, 'compound': -0.0516}",-0.0516,Negative
Sementara pemerintah Indonesia mengurangi penggunaan AC untuk efisiensi Lee Kuan Yew menganggap AC adalah kontribusi terbesar pada perubahan birokrasi yang membuat ASN dapat bekerja produktif ,"{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.3612}",0.3612,Positive
Demo solidaritas Bela Palestina berlangsung di berbagai kota di Indonesia. Tetapi di balik aksi solidaritas ini kok malah ada pengibaran bendera HTI ya ? Organisasi yg jelas2 dinyatakan terlarang oleh pemerintah sejak 2017. ,"{'neg': 0.08, 'neu': 0.738, 'pos': 0.182, 'compound': 0.5719}",0.5719,Positive
Pernyataan Menteri ESDM pensiun dini PLTU jangan dipaksakan karena keterbatasan anggaran menunjukkan komitmen pemerintah yang setengah hati dalam mempercepat transisi energi. Seperti PLTU Bahlil tampaknya juga perlu pensiun dini. ,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.8683}",0.8683,Positive
Sirkuit Mandalika diklaim pemerintah akan mendongkrak ekonomi dan turut membawa manfaat bagi warga. Tapi sejak dibangun hingga sekarang proyek tersebut masih bikin banyak warga 'nangis'? Lihat di TUMBAL PARIWISATA: Proyek Strategis Nasional (PSN) ini ,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.3919}",0.3919,Positive
Saya dulu juga gini sih mikirnya Ngapain sih pindah di Indonesia enak kok. Lalu semua berubah ketika udah ngerasain di negara yang pemerintah yang beneran kerja untuk masyarakat fasilitas umum dan support untuk keluarga yang bagus banget. Beneran beda gais~ mentality.,"{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.4019}",0.4019,Positive
 3 poin yg tidak dicentang itu sudah mencerminkan Indonesia banget. Gk bisa jadi ortu yg baik karena lingkungan anak di Indo gak bagus ekonomi blm stabil karena kebijakan pemerintah Indo sungguh kacau faktor kesehatan dimana memakai bpjs dari pemerintah prosesnya lambat.,"{'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.8479}",-0.8479,Negative
orang-orang di temlen pada marah ke promotor mecima berasa rakyat indonesia marah ke pemerintah . soalnya dua duanya budeg gak ada yang dengerin masukan warga ,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.8885}",-0.8885,Negative
Wacana kelola tambang oleh pemerintah untuk universitas benar-benar menimbulkan tanda tanya: apa bentuk kerjasamanya? Dengarkan selengkapnya SuarAkademia terbaru bersama Rektor Fathul Wahid di sini: KampusTambang ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Peringatan darurat! Hisbassing hisbassing! Pemerintah lagi hisbassing! Indonesia butuh akses ke pendidikan dan kesehatan yang baik dan setara butuh energi untuk supaya dapur ngebul butuh gaji yang layak buat semua tapi yang kita dapat hanya MBG yang jadi beban semua orang. ,"{'neg': 0.172, 'neu': 0.754, 'pos': 0.073, 'compound': -0.6933}",-0.6933,Negative
1. Presiden menegaskan pemerintah telah menetapkan Harga Pembelian Pemerintah (HPP) gabah kering panen sebesar Rp6.500/kilogram. Kebijakan ini adalah wujud komitmen kuat dalam melindungi petani Indonesia &amp; menjaga stabilitas harga di tengah arus produksi yang melimpah. ,"{'neg': 0.052, 'neu': 0.821, 'pos': 0.127, 'compound': 0.5423}",0.5423,Positive
Jargon ok Gas ok Gas ternyata itu clue situasi yang diciptakan pejabat pemerintah kabinet merah putih. Dan bila tidak membuat susah hidup rakyat bukan pejabat indonesia nama nya. Menteri Bahlil juga buta akan wilayah indonesia. Apakah pangkalan resmi LPG sudah menjangkau seluruh ,"{'neg': 0.044, 'neu': 0.782, 'pos': 0.173, 'compound': 0.7134}",0.7134,Positive
 Pemerintah Indonesia BANYAK BANYAK lebih GILA GILA GILA ,"{'neg': 0.545, 'neu': 0.455, 'pos': 0.0, 'compound': -0.7351}",-0.7351,Negative
Menurut Ronald Reagan sembilan kata paling menyeramkan dalam bahasa Inggris adalah Saya dari pemerintah dan saya datang untuk membantu Anda. Demi efisiensi Indonesia menekan sembilan kata paling menyeramkan itu menjadi cukup dua kata saja: NEGARA HADIR.,"{'neg': 0.07, 'neu': 0.825, 'pos': 0.105, 'compound': 0.1796}",0.1796,Positive
Makan siang gratis di Papua sadis. Sumber pangan lokal mereka (hutan) dikeruk tanpa konsultasi warga terpaksa makan pangan dari barat Indonesia dengan harga mahal lalu akhirnya dikasih makan gratis dari pemerintah entah sampe kapan? Lalu pas programnya stop mereka makan gimana,"{'neg': 0.09, 'neu': 0.789, 'pos': 0.121, 'compound': 0.4019}",0.4019,Positive
 nah... padahal Indonesia juga Export LPG loh‼️ pemerintah sih ada alasan nya expor dan import. tapi menurut sy itu hanya alasan krn ada tekanan EG lah. kenapa tdk di produksi pemurnian di Indonesia. alasan tdk mampu itu Non sense. buang² uang bisa kok‼️ technology bs dibeli .. ,"{'neg': 0.112, 'neu': 0.861, 'pos': 0.027, 'compound': -0.714}",-0.714,Negative
UNTUNG PRABOWO PRESIDENNYA Rakyat kecil di Indonesia bneran setidak berharga itu ya? percuma beli tanah punya sertifikatnya juga. Tapi yg berkuasa ttep pemerintah dzolim pengen jadi presiden ,"{'neg': 0.093, 'neu': 0.907, 'pos': 0.0, 'compound': -0.3973}",-0.3973,Negative
 Percuma bagi saya approval rating Pemerintah 80% kalau persoalan pagar laut di Kabupaten Tangerang itu tidak bisa diungkap siapa cukongnya -Adi Prayitno- // SELENGKAPNYA TONTON YOUTUBE ILC ,"{'neg': 0.088, 'neu': 0.912, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative
Apakah Indonesia Akan Bubar Seperti Kata Prabowo? Atas nama efisiensi anggaran Proyek infrastruktur dibatalkan anggaran riset tiada alat deteksi gempa dan tsunami terancam mati PNS bekerja tanpa lampu. Pengetatan anggaran pemerintah untuk memuluskan program prioritas ,"{'neg': 0.176, 'neu': 0.778, 'pos': 0.046, 'compound': -0.7906}",-0.7906,Negative
Halo Semeton Rupiah turut hadir dalam kegiatan Gerakan Tanam (Gertam) Padi Gogo yang diinisiasi Pemerintah Provinsi Bali pada 31 Januari 2024 di Subak Abian Giri Lestari Desa Bugbug Kecamatan Karangasem Kabupaten Karangasem. ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Program PIP pemerintah terbukti memiliki dampak yang signifikan dalam meningkatkan partisipasi sekolah anak-anak Indonesia. Penelitian pertama dengan judul Efektifitas Program Indonesia Pintar terhadap Partisipasi Sekolah di Kawasan Barat dan Timur Indonesia yang dilaukan oleh ,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.5423}",0.5423,Positive
Pekan lalu publik Indonesia diramaikan dengan insiden Agensi Penguatkuasaan Maritim Malaysia (APMM) menembak kapal berisi Pekerja Migran Indonesia (PMI) yang disebut hendak keluar secara ilegal dari Malaysia. Kasus ini menewaskan satu WNI. Buntutnya pemerintah RI mendesak ,"{'neg': 0.091, 'neu': 0.872, 'pos': 0.037, 'compound': -0.5719}",-0.5719,Negative
Pemerintah Indonesia gila duit dan kekuasaan mana mikirin kesejahteraan rakyatnya Rakyatnya ga boleh pinter pinter dikit berontak,"{'neg': 0.289, 'neu': 0.711, 'pos': 0.0, 'compound': -0.7882}",-0.7882,Negative
untuk kondisi di Indonesia memang harus keras lawan kontra-revolusioner kyk si tio ini bukannya fasis tapi rakyat indo ini diinjek2 mulu sama pemerintah korup wajar kalau galak ke pendukung 02 bayangin udah dibikin susah dimiskinkan oleh sistem trus masih harus sopan???,"{'neg': 0.075, 'neu': 0.762, 'pos': 0.163, 'compound': 0.7312}",0.7312,Positive
Morning Hello Citizen on the world the Indonesian people are experiencing oppression from a very corrupt government backed by oligarchy we really feel this is an injustice from all aspects of policy Please spread this news to all corners of the world PeringatanDarurat ,"{'neg': 0.082, 'neu': 0.838, 'pos': 0.081, 'compound': -0.2585}",-0.2585,Negative
Setelah resmi dicabut status Badan Hukum ormas Hizbut Tahrir Indonesia (HTI) pd 19.07.2017 oleh pemerintah HTI msh melakukan gerakan bawah tanah di bbrp kota a.l : Surabaya Palembang Yogyakarta dn Samarinda Tujuannya adlh tetap pro khilafah dan menentang ideologi Pancasila. ,"{'neg': 0.0, 'neu': 0.972, 'pos': 0.028, 'compound': 0.128}",0.128,Positive
Pemerintah resmi membuka layanan medical check up gratis di seluruh RSUD dan Puskesmas di Indonesia. Program ini merupakan hadiah dari pemerintah bagi masyarakat yang berulang tahun. pemeriksaankesehatangratis medicalcheckupgratis puskesmas ,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.7351}",0.7351,Positive
Masukan bagi pemerintah dan industriawan Indonesia ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Investasi Tumbuh Pesat di Indonesia: Peluang Emas! Investasi di Indonesia berkembang pesat berkat pasar besar proyek infrastruktur dan dukungan pemerintah. Dengan potensi ekonomi yang kuat negara ini menjadi destinasi menarik bagi investor yang mencari peluang besar. ,"{'neg': 0.0, 'neu': 0.578, 'pos': 0.422, 'compound': 0.9712}",0.9712,Positive
Trump melakukan beberapa upaya untuk merampingkan ukuran dan peran pemerintah pusat. Salah satunya lewat pembentukan Departemen Efisiensi Pemerintahan yang dikepalai Elon Musk. ,"{'neg': 0.0, 'neu': 0.923, 'pos': 0.077, 'compound': 0.3612}",0.3612,Positive
Dear cukuplah pemerintah kita aja yang kerjanya curang2an/korup2 mulu yuk bisa yuk gak usah ada urusan tiketing ordal/priority list dkk dll. Sekali2 jadilah pelopor untuk yang bersih2.. yuk bisa yuk.. fair play buat semua..,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6486}",0.6486,Positive
Soal Kasus Geng Rusia Aleg PKS Hamid Noor Yasin : Perketat Pengawasan WNA demi Kenyamanan Pariwisata Kasus ini menjadi peringatan bagi pemerintah untuk lebih waspada terhadap potensi ancaman dari kelompok kriminal asing di Indonesia ~Hamid Noor ,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.8225}",-0.8225,Negative
tbh heran bgt sama cara kerja pemerintah indonesia ini. bikin kebijakan berantakan bikin susah warga negara. di company kecil aja ambil keputusan salah dikit aja langsung disuruh kebut ngebenahin permasalahannya. ini? semua sektor bermasalah lelet bgt benahinnya.,"{'neg': 0.297, 'neu': 0.669, 'pos': 0.034, 'compound': -0.926}",-0.926,Negative
NYATA! ASG Bayar Pajak 50 T &amp; Serap 200 Ribu Pekerja. Faktanya! PSN PIK 2 Turut Berdampak Pada Peningkatan PAD Kab. Tangerang Menjadi Daerah Dengan PAD Tertinggi Di antara Seluruh Kab. &amp; Kota Di Indonesia. ---&gt; Siang Carmen Pemerintah Rest in Peace KuSangatSuka GRAMMYs ,"{'neg': 0.033, 'neu': 0.837, 'pos': 0.13, 'compound': 0.6988}",0.6988,Positive
Kalau pemerintah Indonesia nda korup dan nda bajingannn sehingga mau fokus juga ke industri perfilman dan penerbitan buku (biar naskah buku tema sci-fi dan fantasy/etc. dilirik) keknya bakal banyak film² make efek CGI yang bagus ,"{'neg': 0.075, 'neu': 0.862, 'pos': 0.062, 'compound': -0.1531}",-0.1531,Negative
Masih ingat kan Stafsus Hubungan Internasional Kemenko Kumham Ahmad Usmarwi Kaffah yg ingin membebaskan penjahat kelamin reynhard Sinaga? Indonesia bukan kekurangan org cerdas ini buktinya anak Komedian Dono Warkop menjadi ahli nuklir d Swiss Miris ga sii dgn pemerintah ,"{'neg': 0.099, 'neu': 0.725, 'pos': 0.176, 'compound': 0.5478}",0.5478,Positive
Sembari tebalikin meja kubahas serius dikit ya. Subsidi energi Indonesia itu terus membengkak ini nggak cuma LPG juga listrik dan BBM. Karena semua subsidi terbuka (ke barang bukan ke orang) celah penyalahgunaan besar. Yang nggak berhak bisa tetep dapet. Pemerintah ,"{'neg': 0.172, 'neu': 0.784, 'pos': 0.044, 'compound': -0.7184}",-0.7184,Negative
Ternyata pemerintah kita sudah memberikan hak konservasi laut kepada Amerika pada 15 Januari 2025 kmren Dimana Indonesia secara resmi sdh melunasi utang ke Amerika sebesar 575 Milyar dgn cara menukar hak konservasi laut dan terumbu karang Bu bagimana ini ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Makan Bergizi Gratis bukan hanya program tapi gerakan bersama! Dengan dukungan dari semua pihak pemerintah swasta komunitas dan masyarakat kita bisa memastikan anak-anak Indonesia tumbuh sehat cerdas dan kuat. Mari kita bersatu untuk masa depan yang lebih baik! ,"{'neg': 0.0, 'neu': 0.537, 'pos': 0.463, 'compound': 0.9751}",0.9751,Positive
Ingat ya pemerintah pusat Indonesia. Kalau 5 tahun ke depan infrastruktur nasional di Kalimantan Barat terus terhambat ya mungkin gabung Malaysia jadi opsi lebih baik untuk masyarakat di sini. ,"{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.6249}",0.6249,Positive
belum 100 hari rezim ini memimpin negeri tapi sudah banyak kebijakan yang menyengsarakan masyarakat. mulai dari tanah papua dirampas laut dipagar pendidikan &amp; kesehatan prioritas pendukung korban jiwa krn antrean gas LPG 3kg dll nya. HOW FCKED UP OUR COUNTRY! IndonesiaGelap ,"{'neg': 0.098, 'neu': 0.835, 'pos': 0.067, 'compound': -0.4199}",-0.4199,Negative
Anggota DPD RI Provinsi Sumatera Utara Pdt. Penrad Siagian mengecam insiden penembakan WNI pekerja migran di Selangor Malaysia. Penrad mendesak pemerintah Indonesia untuk mengambil langkah tegas dalam mengusut kasus tersebut melalui jalur diplomatik. dpdri TPPO malaysia ,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative
Ada gempa jam 02.35 diumumkan lgs 02.36. Terbangun bkn krn gempa tp krn info dri pemerintah yg bwt hp berbunyi sgt krs lbh dr alarm. Alhamdulillah pny pemerintah yg responsif dan peduli rakyat. Berharap Indonesia bisa seperti ini segera aamiin. ,"{'neg': 0.055, 'neu': 0.713, 'pos': 0.232, 'compound': 0.9033}",0.9033,Positive
Gengs bagaimana tanggapanmu soal rencana Presiden Amerika Serikat Donald Trump untuk memindahkan warga Palestina di Gaza secara massal ke negara-negara tetangga? Setuju atau tidak? Bagaimana pula tanggapan pemerintah Indonesia? Baca lebih lanjut ,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.7041}",0.7041,Positive
Koordinator Aksi Tuntut Tukin Aliansi Dosen ASN Kemendiktisaintek Seluruh Indonesia (ADAKSI) Anggun Gunawan menegaskan bahwa aksi mogok nasional menjadi langkah selanjutnya jika pemerintah tetap membiarkan hak tunjangan kinerja (tukin) dosen tak dibayar. Dalam aksi demonstrasi ,"{'neg': 0.076, 'neu': 0.859, 'pos': 0.064, 'compound': -0.1531}",-0.1531,Negative
Dubai hanya penghasil minyak Tapi rakyatnya bs hidup layaknya para sultan Bgmn dgn Indonesia Yang kaya Sumber Daya Alam ? Harusnya bisa lbh dr Dubai Asal pemerintah Indonesia mau belajar ke Dubai bagaimana mengelola Kekayaan alam utk kemakmuran rakyat nya ! ,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.9427}",0.9427,Positive
